method,variant,dataset,n_total,n_pos_gt,n_pos_pred,n_unparseable,acc,mf,path,error
alarm_backup_7b_20260416,test_alarm,HateMM,215,86,110,0,0.7953,0.7937,/data/jehc223/EMNLP2/results/alarm_backup_7b_20260416/HateMM/test_alarm.jsonl,
alarm_backup_7b_20260416,test_alarm,ImpliHateVid,400,199,98,0,0.7175,0.6974,/data/jehc223/EMNLP2/results/alarm_backup_7b_20260416/ImpliHateVid/test_alarm.jsonl,
alarm_backup_7b_20260416,test_alarm,MHClip_EN,161,49,34,0,0.6957,0.6023,/data/jehc223/EMNLP2/results/alarm_backup_7b_20260416/MHClip_EN/test_alarm.jsonl,
alarm_backup_7b_20260416,test_alarm,MHClip_ZH,149,45,4,0,0.7114,0.4749,/data/jehc223/EMNLP2/results/alarm_backup_7b_20260416/MHClip_ZH/test_alarm.jsonl,
boundary_rescue,test_final,HateMM,215,86,77,0,0.8093,0.7975,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_final.jsonl,
boundary_rescue,test_v2_alpha0.10_v1_G10,HateMM,215,86,76,0,0.8419,0.8316,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.10_v1_G10.jsonl,
boundary_rescue,test_v2_alpha0.10_v1_G7,HateMM,215,86,77,0,0.8465,0.8370,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.10_v1_G7.jsonl,
boundary_rescue,test_v2_alpha0.10_v1_G9,HateMM,215,86,78,0,0.8233,0.8127,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.10_v1_G9.jsonl,
boundary_rescue,test_v2_alpha0.15_v1_G1,HateMM,215,86,80,0,0.8140,0.8038,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.15_v1_G1.jsonl,
boundary_rescue,test_v2_alpha0.15_v1_G10,HateMM,215,86,76,0,0.8419,0.8316,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.15_v1_G10.jsonl,
boundary_rescue,test_v2_alpha0.15_v1_G2,HateMM,215,86,79,0,0.8186,0.8082,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.15_v1_G2.jsonl,
boundary_rescue,test_v2_alpha0.15_v1_G5,HateMM,215,86,77,0,0.8372,0.8271,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.15_v1_G5.jsonl,
boundary_rescue,test_v2_alpha0.15_v1_G6,HateMM,215,86,71,0,0.8279,0.8144,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.15_v1_G6.jsonl,
boundary_rescue,test_v2_alpha0.15_v1_G7,HateMM,215,86,77,0,0.8372,0.8271,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.15_v1_G7.jsonl,
boundary_rescue,test_v2_alpha0.15_v1_G8,HateMM,215,86,76,0,0.8326,0.8217,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.15_v1_G8.jsonl,
boundary_rescue,test_v2_alpha0.15_v1_G9,HateMM,215,86,76,0,0.8326,0.8217,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.15_v1_G9.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G1,HateMM,215,86,76,0,0.8233,0.8118,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v1_G1.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G10,HateMM,215,86,76,0,0.8419,0.8316,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v1_G10.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G2,HateMM,215,86,82,0,0.8140,0.8046,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v1_G2.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G5,HateMM,215,86,76,0,0.8326,0.8217,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v1_G5.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G6,HateMM,215,86,74,0,0.8140,0.8009,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v1_G6.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G7,HateMM,215,86,77,0,0.8372,0.8271,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v1_G7.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G8,HateMM,215,86,76,0,0.8326,0.8217,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v1_G8.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G9,HateMM,215,86,77,0,0.8279,0.8172,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v1_G9.jsonl,
boundary_rescue,test_v2_alpha0.20_v2_G1,HateMM,215,86,83,0,0.8093,0.8002,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v2_G1.jsonl,
boundary_rescue,test_v2_alpha0.20_v2_G2,HateMM,215,86,82,0,0.8140,0.8046,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v2_G2.jsonl,
boundary_rescue,test_v2_alpha0.20_v2_G5,HateMM,215,86,76,0,0.8326,0.8217,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v2_G5.jsonl,
boundary_rescue,test_v2_alpha0.20_v2_G6,HateMM,215,86,74,0,0.8140,0.8009,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.20_v2_G6.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G1,HateMM,215,86,82,0,0.8047,0.7948,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.30_v1_G1.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G10,HateMM,215,86,79,0,0.8279,0.8181,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.30_v1_G10.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G2,HateMM,215,86,81,0,0.8093,0.7993,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.30_v1_G2.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G3,HateMM,215,86,82,0,0.8047,0.7948,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.30_v1_G3.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G4,HateMM,215,86,82,0,0.8047,0.7948,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.30_v1_G4.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G5,HateMM,215,86,79,0,0.8279,0.8181,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.30_v1_G5.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G6,HateMM,215,86,80,0,0.8233,0.8136,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.30_v1_G6.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G7,HateMM,215,86,79,0,0.8279,0.8181,/data/jehc223/EMNLP2/results/boundary_rescue/HateMM/test_v2_alpha0.30_v1_G7.jsonl,
